"","text.X","text.text"
"51",51,"А ты подписан на e-mail рассылку новостей http://t.co/e3cXGmE1aa? http://t.co/vmaXmRwNf3 http://t.co/OHhiYP9l2P"
"52",52,"На борту самолета, приземлившегося в аэропорту Челябинска, умер пассажир http://t.co/EUUwQrKYzT http://t.co/TfX2H7oPkC"
"53",53,"Жители Миасса жалуются на графитовые выбросы в районе Тургоякского шоссе http://t.co/pmfsnTVCA5 http://t.co/aTQkdRlBuK"
"54",54,"В Верхнеуральском районе пропал табун лошадей стоимостью 800 тысяч рублей http://t.co/oui1AqmIjr http://t.co/merNeeClDy"
"55",55,"http://t.co/aHC072AQUW"
"56",56,"В Челябинской области выпал град http://t.co/6egNl75mfY http://t.co/NuP7YkhR1x"
"57",57,"Суд запретил бесплатно показывать в интернете «Игру престолов» и еще 14 сериалов http://t.co/AUb0nVzlIu http://t.co/5KYQQoVxUl"
"58",58,"Сегодня в парке Гагарина откроется читальный зал под открытым небом http://t.co/EE5uQn1K0i http://t.co/HuNHvUvqTr"
"59",59,"В Озерске 48-летний мужчина выбросился с тринадцатого этажа http://t.co/Berm0n7Ph9 http://t.co/MqmjM5pTFg"
"60",60,"8-летний мальчик повесился в поселке под Карталами http://t.co/ef2HB33UXS http://t.co/Xfpg5JsXl7"
"61",61,"Борис Дубровский решит проблемы небольших поселков вместе с главами http://t.co/GKoHtQytzo http://t.co/YnIE7A2q2j"
"62",62,"Полицейский с товарищами арестован за похищение женщины http://t.co/kyjU9EF5l1 http://t.co/NcZohLFqtO"
"63",63,"Хоккеисты «Металлурга» провезут Кубок Гагарина по Магнитогорску http://t.co/23rW8vVQZC http://t.co/LI4MUyY28Z"
"64",64,"Челябинцы составили фоторобот педофила, затащившего школьницу в подъезд http://t.co/BdUJfkkhRf http://t.co/xCgTFk1uV5"
"65",65,"Челябинцу грозит штраф за слив 6 кубометров бетона в городском бору http://t.co/KUHspXAq4y http://t.co/593yMqpf3e"
"66",66,"Южноуральцы собрали 25 тысяч рублей на лечение женщины, сбитой машиной в Греции http://t.co/tqBShUZiDt http://t.co/LXdfFCKf21"
"67",67,"Утонувший в Магнитогорске 16-летний парень бросился в реку за мячиком http://t.co/XdfhmGYSSc http://t.co/KSPBUYZLyW"
"68",68,"Авиадебошир, сорвавший рейс из Санкт-Петербурга, пропал в Челябинске http://t.co/DFnhXq9XGe http://t.co/TzBdKDepHh"
"69",69,"Южноуралец погиб, сорвавшись со сломанного моста в бурную реку http://t.co/WPlwsjRWst http://t.co/nhEjyA31HR"
"70",70,"Льготный рейс в Симферополь откроется из Челябинска 1 июня http://t.co/MMv7zwBzmB http://t.co/5NGT3KSErq"
"71",71,"Обвиняемого в убийстве на Заячьем острове будут судить по 3 статьям http://t.co/6JqsX9ZX7d http://t.co/Jt5Q9kJPy1"
"72",72,"http://t.co/eHvUvq45Vb"
"73",73,"Собака-гермафродит попала на изучение челябинским студентам-ветеринарам http://t.co/yxFksgBTGE http://t.co/PkamwJgHH9"
"74",74,"Бывший вице-губернатор стал одним из руководителей «Русской медной компании»  http://t.co/DFvbAt4vgJ http://t.co/MtQaCF04Xy"
